GID_2,within_april_mean_over_december,temp,spechum,Population,sqkm,crowding30s,crowding2point5m,crowding15m,crowding30m,crowd1d,density
ITA.1.1_1,,52.6872099522047,0.0051821567778874,390831.425121238,2582.26710773906,1377.64806759735,9438.65898525304,102545.40321102,295026.060486234,NA,151.352051826829
ITA.1.2_1,,38.0858491366019,0.00354477556828685,300396.272854536,5034.44682748802,1112.71676535109,7857.65760850446,42855.8517254452,82867.659320731,400462.275586844,59.6681786794084
ITA.1.3_1,,51.862754008634,0.00512493365665652,330172.768721128,1223.69672363924,2155.90786819771,21051.3938899344,246584.649925839,NA,NA,269.815847622116
ITA.1.4_1,,51.5663407724329,0.00499751885245577,315368.542791352,1943.1312631775,1119.88811161432,7833.63860984681,98110.2276611273,159996.172454953,NA,162.299145079703
ITA.10.1_1,,41.4536260792476,0.00367794330043127,1203272.89031834,2745.67085106521,1724.90626324911,20875.1487164793,369972.492060951,894349.254162741,NA,438.243677260701
ITA.10.10_1,,51.0063390379278,0.00507869193840906,588117.424626614,2971.26654406433,1524.82674532417,11189.5437747149,107059.246797251,360236.219664527,871073.798326388,197.934926370537
ITA.10.11_1,,32.8817372032069,0.00281551210281778,185471.461349467,3232.10721852759,943.799185832076,5694.92043102728,29802.2123841545,62378.9742975194,187400.380309487,57.3840682902716
ITA.10.12_1,,51.5375479879741,0.00470717222034414,930491.793954602,1192.39573004215,1587.12526140937,20506.66417932,283421.66976122,775297.703841179,NA,780.354852429497
ITA.10.2_1,,48.3858524128893,0.00445306651988554,1375488.77213111,4792.62903435217,1497.35495254269,14777.2682266022,261935.856385994,710816.877550779,1545856.93265289,287.00088453999
ITA.10.3_1,,49.6685692260253,0.00424774359161871,637528.197829631,1273.38485134208,1403.6684583409,17427.5763678117,190945.93539058,419250.439506251,NA,500.656339014644
ITA.10.4_1,,51.1621993524514,0.00500053265094285,382688.559167899,1769.97489201692,1394.4644715667,9488.62573639742,97063.7377879615,203098.919188555,551216.644122638,216.211292540889
